State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
NSW,2850,10079,611291227,2722,5914669,60649.98779640837,2172.9129316678914
NSW,2852,1844,98438229,495,1026219,53382.987527114965,2073.169696969697
NSW,2864,464,24996197,115,291813,53871.11422413793,2537.504347826087
NSW,2865,465,22142628,108,229204,47618.55483870968,2122.259259259259
NSW,2866,1654,83243010,398,793244,50328.301088270855,1993.0753768844222
NSW,2867,303,12507193,62,137975,41277.864686468645,2225.4032258064517
NSW,2868,338,9694221,69,214874,28681.12721893491,3114.1159420289855
NSW,2869,712,26118891,111,249845,36683.8356741573,2250.8558558558557
NSW,2870,6340,331966569,1601,2966020,52360.65757097792,1852.6046221111806
NSW,2871,4797,236933630,1119,2399708,49392.042943506356,2144.5111706881144
NSW,2873,362,7914340,56,129278,21862.81767955801,2308.535714285714
NSW,2874,255,7748166,48,110258,30384.964705882354,2297.0416666666665
NSW,2875,455,15771589,97,207064,34662.83296703297,2134.680412371134
NSW,2876,239,4617467,38,71403,19319.94560669456,1879.0263157894738
NSW,2877,1878,73346700,349,613242,39055.750798722045,1757.1404011461318
NSW,2878,177,6654495,25,56701,37596.016949152545,2268.04
NSW,2879,222,13614417,58,136829,61326.2027027027,2359.1206896551726
NSW,2880,8788,508581391,1673,3064677,57872.256599908964,1831.8451882845188
NSW,2898,308,20303342,11,14692,65919.94155844155,1335.6363636363637
NSW,2899,1170,53198995,249,248219,45469.22649572649,996.8634538152611
NSW,NSW other,3791,306228227,879,2337960,80777.69111052493,2659.795221843003
NT,800,5214,362017451,1515,2674110,69431.80878404297,1765.0891089108911
NT,801,507,45588988,111,267233,89919.10848126233,2407.5045045045044
NT,804,132,10606966,32,51673,80355.80303030302,1614.78125
NT,810,21269,1424967659,6287,10429333,66997.39804410175,1658.8727533004612
NT,811,282,23324672,59,104363,82711.60283687944,1768.864406779661
NT,812,11038,726625088,3193,4920092,65829.41547381772,1540.899467585343
NT,813,67,4596894,19,23800,68610.35820895522,1252.6315789473683
NT,814,143,11457300,30,52357,80120.97902097902,1745.2333333333333
NT,820,13062,1079618958,4006,7172969,82653.41892512632,1790.5564153769346
NT,821,374,33901568,84,141548,90645.9037433155,1685.095238095238
NT,822,6726,324072680,895,1632960,48182.08147487362,1824.536312849162
NT,828,805,59985626,222,411914,74516.30559006211,1855.4684684684685
NT,829,358,24632127,179,303392,68804.82402234637,1694.927374301676
NT,830,11094,739883041,3859,6715582,66692.17964665584,1740.2389220005182
NT,831,557,40949636,160,295621,73518.197486535,1847.63125
NT,832,10883,758947364,4378,7746934,69736.96260222365,1769.5143901324807
NT,834,547,38401304,162,278049,70203.48080438757,1716.351851851852
NT,835,2922,211297814,846,1698242,72312.73579739904,2007.3782505910165
NT,836,4889,344971097,1466,2853659,70560.66618940479,1946.5613915416097
NT,837,513,33544006,118,241021,65387.92592592593,2042.550847457627
NT,838,525,35569092,153,299104,67750.65142857142,1954.9281045751634
NT,839,683,48874643,229,466018,71558.77452415813,2035.0131004366813
NT,840,183,9658691,43,66022,52779.73224043716,1535.3953488372092
NT,841,328,21996254,98,211381,67061.75,2156.9489795918366
NT,845,319,17405944,80,171247,54564.08777429467,2140.5875
NT,846,201,11034342,33,72704,54897.22388059701,2203.151515151515
NT,847,153,6190068,21,42862,40457.96078431373,2041.047619047619
NT,850,4145,254061723,986,1738004,61293.53992762364,1762.6815415821502
NT,851,908,58828831,182,403228,64789.461453744494,2215.5384615384614
NT,852,2044,85896752,224,546456,42023.85127201566,2439.535714285714
NT,853,536,39264414,307,597589,73254.50373134328,1946.543973941368
NT,854,443,20132275,45,93704,45445.31602708803,2082.311111111111
NT,860,1040,63947611,285,565065,61488.0875,1982.6842105263158
NT,861,555,32617756,127,266466,58770.73153153153,2098.1574803149606
NT,862,296,12970793,71,186720,43820.24662162162,2629.8591549295775
NT,870,14378,926657030,3543,5972977,64449.64737793852,1685.8529494778436
NT,871,1260,85040420,306,519296,67492.39682539682,1697.045751633987
NT,872,4277,184796698,594,1268897,43207.08393733926,2136.1902356902356
NT,873,403,24972156,105,198038,61965.6476426799,1886.0761904761905
NT,874,148,10631103,37,60630,71831.77702702703,1638.6486486486488
NT,875,576,32177995,119,220007,55864.57465277778,1848.7983193277312
NT,880,1053,68697510,175,333357,65239.80056980057,1904.8971428571429
NT,881,1609,113808154,514,740167,70732.22747047855,1440.0136186770428
NT,885,562,49853674,81,143838,88707.60498220641,1775.7777777777778
NT,886,778,51681586,215,396997,66428.77377892031,1846.4976744186047
NT,NT other,205,12360693,55,81090,60296.06341463415,1474.3636363636363
Overseas,Overseas,126006,4041547522,4557,7849710,32074.246639048935,1722.5608953258723
QLD,4000,13652,888895544,1653,4132242,65111.01259888661,2499.8439201451906
QLD,4001,658,43497979,62,185559,66106.35106382979,2992.8870967741937
QLD,4004,103,7788640,14,45418,75617.8640776699,3244.1428571428573
QLD,4005,12736,1262726243,2548,6994908,99146.2188285176,2745.25431711146
QLD,4006,16809,1187417925,3357,8179240,70641.79457433517,2436.4730414060173
QLD,4007,10160,1123708620,2259,6784258,110601.24212598425,3003.2129260734837
QLD,4008,212,12120412,60,164235,57171.75471698113,2737.25
QLD,4009,91,7924630,10,43452,87083.84615384616,4345.2
QLD,4010,2631,181756469,665,1709965,69082.65640440898,2571.375939849624
QLD,4011,10669,1038951241,2183,6396880,97380.37688630613,2930.316078790655
QLD,4012,15430,1070160192,3648,8348226,69355.81283214517,2288.439144736842
QLD,4013,3285,221841252,734,1707028,67531.58356164384,2325.6512261580383
QLD,4014,8065,535439927,2151,4858072,66390.56751394917,2258.51789865179
QLD,4017,22203,1355246209,5175,11656985,61038.878034499845,2252.557487922705
QLD,4018,8061,436635761,1785,3291644,54166.45093660836,1844.058263305322
QLD,4019,11251,620065793,2853,6894282,55112.06052795307,2416.502628811777
QLD,4020,13813,818897551,3093,7820012,59284.554477665966,2528.2935661170386
QLD,4021,5002,245228968,1236,2749718,49026.1831267493,2224.6909385113267
QLD,4022,3506,170433943,838,1998721,48612.07729606389,2385.1085918854415
QLD,4025,123,5776980,6,7446,46967.31707317073,1241.0
QLD,4030,12145,909731642,2638,6256071,74905.85771922601,2371.5204700530703
QLD,4031,8953,649137781,2167,5062961,72505.05763431251,2336.3917858790956
QLD,4032,11140,634697849,2375,4957166,56974.67226211849,2087.2277894736844
QLD,4034,28171,1660082942,6145,13365371,58928.789961307724,2174.99934906428
QLD,4035,16887,1204379369,4033,10002637,71319.9128915734,2480.1976196379865
QLD,4036,4131,226576467,995,2195672,54847.84967320262,2206.705527638191
QLD,4037,5052,349020064,1368,3692771,69085.5233570863,2699.3940058479534
QLD,4051,18799,1538859595,4431,10510208,81858.58795680621,2371.9720153464227
QLD,4052,50,3079777,15,50165,61595.54,3344.3333333333335
QLD,4053,28892,1878916036,7467,16881268,65032.39775716461,2260.7831793223518
QLD,4054,8395,504925558,2015,4661716,60145.98665872543,2313.506699751861
QLD,4055,13326,894254158,3214,6872812,67105.97013357347,2138.3982576229
QLD,4059,7895,558924311,1521,3435792,70794.71956934768,2258.903353057199
QLD,4060,8588,776770446,1876,5318453,90448.35188635305,2834.9962686567164
QLD,4061,10680,837518993,2185,5405540,78419.3813670412,2473.9313501144165
QLD,4064,8445,793722320,1679,4525613,93987.24925991711,2695.421679571173
QLD,4065,6296,677975391,1345,3598248,107683.51191232528,2675.2773234200745
QLD,4066,12140,943987625,2160,4737472,77758.45345963756,2193.274074074074
QLD,4067,5475,442070197,661,1415983,80743.41497716896,2142.183055975794
QLD,4068,15866,1339635943,2704,5925825,84434.38440690785,2191.503328402367
QLD,4069,22295,2065590461,4296,11630002,92648.14806010317,2707.1699255121043
QLD,4070,7214,505120260,1708,4250948,70019.44275020793,2488.845433255269
QLD,4073,5681,431039728,1393,3095488,75873.91797218799,2222.173725771716
QLD,4074,15289,979797049,3584,7851235,64085.09706324809,2190.634765625
QLD,4075,15539,1183853894,3314,7368395,76185.976832486,2223.4143029571514
QLD,4076,2753,136904868,573,1128427,49729.33817653469,1969.3315881326353
QLD,4077,16173,732435808,3623,7284445,45287.566190564525,2010.611371791333
QLD,4078,14817,821868770,3654,7988649,55467.9604508335,2186.275041050903
QLD,4101,20296,1478733803,3409,8093710,72858.38603665747,2374.2182458198886
QLD,4102,6456,369012495,1143,2378872,57158.069237918215,2081.252843394576
QLD,4103,9931,612420711,1849,3722861,61667.57738394925,2013.4456462952949
QLD,4104,4604,357568233,859,2051264,77664.69005212859,2387.967403958091
QLD,4105,8911,605715082,1946,4273484,67973.86174391201,2196.0349434737923
QLD,4106,1030,53028329,232,544805,51483.8145631068,2348.2974137931033
QLD,4107,4134,239471874,1001,2187586,57927.400580551526,2185.4005994005993
QLD,4108,3832,176772055,758,1513807,46130.49451983299,1997.1068601583113
QLD,4109,23587,1128909425,4003,8284285,47861.50951795481,2069.519110667
QLD,4110,7633,399290443,1905,3939094,52311.07598585091,2067.765879265092
QLD,4111,666,32722083,122,247365,49132.25675675676,2027.5819672131147
QLD,4112,4713,262194505,993,2280339,55632.18862720136,2296.413897280967
QLD,4113,18676,916925775,3558,7463369,49096.47542300278,2097.6304103428893
QLD,4114,12413,514263474,2360,4955958,41429.42673004109,2099.9822033898304
QLD,4115,12002,650820857,3054,7087983,54226.033744375934,2320.885068762279
QLD,4116,16189,832184442,3666,8036145,51404.31416393848,2192.074468085106
QLD,4117,1043,55923966,286,643923,53618.37583892617,2251.479020979021
QLD,4118,17799,933881550,4771,10817125,52468.20326984662,2267.2657723747643
QLD,4119,3988,219706647,924,2048705,55091.937562688065,2217.2132034632036
QLD,4120,7088,464683885,1505,3406923,65559.2388544018,2263.736212624585
QLD,4121,16073,1217859540,3549,8587325,75770.51826043676,2419.6463792617637
QLD,4122,27624,1612322244,6015,13105473,58366.71894005213,2178.7985037406484
QLD,4123,12738,747280370,2993,6726291,58665.43962945518,2247.340795188774
QLD,4124,11997,676509902,3386,8401825,56389.9226473285,2481.3422917897224
QLD,4125,5475,279019761,1408,3572487,50962.51342465753,2537.2776988636365
QLD,4127,15153,821010018,3747,8660234,54181.35141556127,2311.244729116627
QLD,4128,10369,608132399,2864,7389226,58649.08853312759,2580.0370111731845
QLD,4129,3946,213457617,1081,2850073,54094.68246325393,2636.5152636447733
QLD,4130,5629,367655472,1443,4285766,65314.52691419435,2970.038808038808
QLD,4131,5566,254290300,1321,2972424,45686.36363636364,2250.131718395155
QLD,4132,13016,598545843,3207,7253582,45985.390519360786,2261.7966947302775
QLD,4133,10355,512641060,2731,6416480,49506.62095605987,2349.4983522519224
QLD,4151,12654,962316211,2854,6942378,76048.38082819662,2432.508058864751
QLD,4152,30141,2215767811,7046,18107560,73513.41398759166,2569.906329832529
QLD,4153,2848,197286449,674,1635424,69271.92731741573,2426.4451038575667
QLD,4154,6697,542013800,1801,5254423,80933.82111393161,2917.503053858967
QLD,4155,1010,107568964,180,582239,106503.92475247524,3234.661111111111
QLD,4156,2243,175174830,478,1198059,78098.45296477931,2506.399581589958
QLD,4157,12119,703266377,2907,7096551,58030.06658965261,2441.1940144478845
QLD,4158,2243,132847004,582,1353303,59227.37583593401,2325.262886597938
QLD,4159,8776,537037677,2101,5515948,61193.90120783956,2625.3917182294144
QLD,4160,11822,795272010,2768,7462849,67270.51344950093,2696.1159682080925
QLD,4161,9811,544511484,2600,6001829,55500.100295586584,2308.395769230769
QLD,4163,9536,682751539,1969,5456846,71597.26709312081,2771.3793803961403
QLD,4164,10707,676070317,2916,7960800,63142.833380031756,2730.0411522633744
QLD,4165,23052,1392482100,5980,16520439,60406.12961998959,2762.615217391304
QLD,4169,10956,822118212,2277,5881305,75038.17196056955,2582.9183135704875
QLD,4170,17796,1405875900,4697,12242232,78999.54484153743,2606.3938684266554
QLD,4171,11116,1173576260,2702,8411536,105575.41021950342,3113.077720207254
QLD,4172,3192,219916629,816,2236013,68896.18703007519,2740.212009803922
QLD,4173,5219,314925332,1321,3137101,60342.08315769304,2374.792581377744
QLD,4174,1686,100768017,428,909698,59767.50711743772,2125.46261682243
QLD,4178,15564,974047552,3495,8950160,62583.3687997944,2560.8469241773964
QLD,4179,11971,835209647,2742,7462291,69769.41333221953,2721.477388767323
QLD,4183,1247,63605001,245,415666,51006.416198877305,1696.595918367347
QLD,4184,2858,131507438,408,884249,46013.799160251925,2167.276960784314
QLD,4205,2720,129682367,646,1497365,47677.34080882353,2317.9024767801857
QLD,4207,34063,1748532611,9205,22817180,51332.31397704254,2478.7810972297666
QLD,4208,13334,775769437,4157,11340161,58179.798785060746,2727.9675246572046
QLD,4209,37624,2064704890,11801,29995673,54877.33600893047,2541.7907804423353
QLD,4210,13342,778851540,4100,10305971,58375.921151251685,2513.6514634146342
QLD,4211,37305,1987889771,10882,25416141,53287.488835276774,2335.613030692887
QLD,4212,18987,1252799171,4774,13945275,65981.94401432559,2921.088186007541
QLD,4213,18061,1055235863,4914,12106356,58426.21466142517,2463.64590964591
QLD,4214,22957,1215318257,6022,14413772,52938.89693775319,2393.5190966456325
QLD,4215,29799,1493628627,6897,15608625,50123.44800161079,2263.1035232709874
QLD,4216,22992,1368209983,5415,14273847,59508.08903096729,2635.9828254847644
QLD,4217,27170,1717509312,5578,14415947,63213.44541774016,2584.4293653639297
QLD,4218,22486,1429214240,5657,15151216,63560.18144623321,2678.312886689058
QLD,4219,156,9772896,43,144368,62646.769230769234,3357.3953488372094
QLD,4220,20969,1373324388,6204,15633156,65493.07968906481,2519.851063829787
QLD,4221,17306,995389298,4891,12145440,57517.00554720906,2483.222244939685
QLD,4223,9297,544144619,2499,5986966,58529.054426158975,2395.7446978791518
QLD,4224,4370,247169102,1289,3177443,56560.4352402746,2465.0449961210243
QLD,4225,5286,296163661,1273,3085306,56027.934354899735,2423.6496465043206
QLD,4226,21662,1191340010,5836,13597715,54996.76899639922,2329.971727210418
QLD,4227,13647,749170755,4041,9453204,54896.369531765224,2339.32293986637
QLD,4228,3513,209736800,828,2271092,59703.04582977512,2742.864734299517
QLD,4230,173,10835991,53,116515,62635.78612716763,2198.396226415094
QLD,4270,2575,151894426,721,2048074,58988.126601941745,2840.6019417475727
QLD,4271,553,28918644,120,328635,52294.11211573237,2738.625
QLD,4272,3994,209448209,856,2103415,52440.71331997997,2457.2605140186915
QLD,4275,2262,120724399,570,1360399,53370.64500442087,2386.6649122807016
QLD,4280,10961,611122725,3276,8757331,55754.28564911961,2673.177960927961
QLD,4285,11165,580896173,2909,7087778,52028.31822660098,2436.4998281196285
QLD,4287,384,16136255,86,141842,42021.497395833336,1649.3255813953488
QLD,4300,37043,2145893337,10612,24210509,57929.793402262236,2281.427534866189
QLD,4301,17562,857354418,4600,10328631,48818.723266142806,2245.354565217391
QLD,4303,1808,82269705,378,758610,45503.155420353985,2006.904761904762
QLD,4304,8763,435621014,2016,4350818,49711.40180303549,2158.1438492063494
QLD,4305,33731,1775831523,9142,19205205,52646.86854821974,2100.7662437103477
QLD,4306,23361,1412177154,6923,16193010,60450.2013612431,2339.0163224035823
QLD,4307,941,48288944,234,457688,51316.624867162594,1955.931623931624
QLD,4309,1681,81590029,342,770985,48536.60261748959,2254.342105263158
QLD,4310,3310,148866038,578,1333812,44974.633836858,2307.6332179930796
QLD,4311,4948,242066219,1320,2919696,48922.03294260307,2211.890909090909
QLD,4312,1218,57010131,220,540560,46806.34729064039,2457.090909090909
QLD,4313,1054,46113575,190,439257,43751.01992409867,2311.878947368421
QLD,4314,655,27602018,120,281948,42140.4854961832,2349.5666666666666
QLD,4340,3027,150126897,741,1682736,49595.93557978196,2270.8987854251013
QLD,4341,7898,400699750,2207,5068807,50734.33147632312,2296.6955142727684
QLD,4342,1359,65120924,308,655608,47918.2663723326,2128.5974025974024
QLD,4343,7166,310503560,1555,3283714,43330.10884733464,2111.7131832797427
QLD,4344,1516,76078945,332,706462,50184.000659630605,2127.897590361446
QLD,4346,597,32567243,181,394491,54551.49581239531,2179.508287292818
QLD,4347,773,34321703,159,311474,44400.65071151358,1958.9559748427673
QLD,4350,62458,3553578643,15635,31385362,56895.492058663425,2007.3784457946913
QLD,4352,17731,1023561036,4598,9969878,57727.202977835426,2168.307525010874
QLD,4353,257,9977197,42,109892,38821.77821011673,2616.4761904761904
QLD,4354,632,29876245,163,326868,47272.53955696202,2005.3251533742332
QLD,4355,1279,51619565,239,565796,40359.31587177482,2367.347280334728
QLD,4356,2894,139955165,721,1726379,48360.45784381479,2394.4230235783634
QLD,4357,1455,62927370,340,733725,43249.051546391755,2158.014705882353
QLD,4358,1544,77544523,423,937259,50223.136658031086,2215.74231678487
QLD,4359,742,36201096,162,359406,48788.53908355795,2218.5555555555557
QLD,4360,413,16408062,89,168413,39728.96368038741,1892.2808988764045
QLD,4361,1420,57088593,261,563711,40203.23450704225,2159.8122605363983
QLD,4362,1347,55861980,280,518782,41471.40311804009,1852.7928571428572
QLD,4363,438,19248593,117,285191,43946.55936073059,2437.5299145299145
QLD,4364,181,12092329,48,101496,66808.44751381215,2114.5
QLD,4365,234,8987317,63,165674,38407.33760683761,2629.746031746032
QLD,4370,9986,455418927,2346,3908500,45605.74073703185,1666.0272804774083
QLD,4371,407,14705937,77,160317,36132.523341523345,2082.038961038961
QLD,4372,95,3506346,11,20974,36908.905263157896,1906.7272727272727
QLD,4373,552,23176761,112,234535,41986.885869565216,2094.0625
QLD,4374,217,8602044,50,70733,39640.755760368666,1414.66
QLD,4375,126,5113766,27,63270,40585.444444444445,2343.3333333333335
QLD,4376,172,6743101,28,50498,39204.07558139535,1803.5
QLD,4377,336,12830568,77,153475,38186.21428571428,1993.1818181818182
QLD,4378,208,8447034,63,114212,40610.74038461538,1812.888888888889
QLD,4380,4355,183448905,1012,1961795,42123.74397244547,1938.5326086956522
QLD,4381,283,12280872,60,90678,43395.3074204947,1511.3
QLD,4382,286,10512821,63,134835,36758.11538461538,2140.2380952380954
QLD,4383,274,9920036,59,126646,36204.51094890511,2146.5423728813557
QLD,4385,584,22229441,106,272425,38064.11130136986,2570.0471698113206
QLD,4387,680,27155619,162,380831,39934.73382352941,2350.8086419753085
QLD,4388,230,14381324,49,127424,62527.495652173915,2600.4897959183672
QLD,4390,4437,218908018,1164,2842415,49336.943430245665,2441.937285223368
QLD,4400,1133,59531877,362,682045,52543.58075904678,1884.1022099447514
QLD,4401,3075,148105837,632,1295225,48164.499837398376,2049.40664556962
QLD,4402,139,4782025,14,25330,34403.05755395684,1809.2857142857142
QLD,4403,418,19968803,68,158161,47772.25598086124,2325.8970588235293
QLD,4404,288,12842195,47,115905,44590.95486111111,2466.063829787234
QLD,4405,8082,434062060,2011,4490309,53707.258104429595,2232.873694679264
QLD,4406,638,26781204,113,262578,41976.80877742947,2323.6991150442477
QLD,4407,309,15512859,70,204754,50203.42718446602,2925.057142857143
QLD,4408,389,13939004,86,204961,35832.91516709512,2383.267441860465
QLD,4410,662,25613064,112,234837,38690.42900302115,2096.7589285714284
QLD,4411,152,6635061,27,59797,43651.71710526316,2214.703703703704
QLD,4412,126,5754770,27,61715,45672.77777777778,2285.740740740741
QLD,4413,4348,249229032,1022,2184493,57320.38454461822,2137.468688845401
QLD,4415,1056,52809975,203,389707,50009.44602272727,1919.7389162561576
QLD,4416,276,12971584,60,213527,46998.49275362319,3558.7833333333333
QLD,4417,322,16746935,74,160197,52009.1149068323,2164.824324324324
QLD,4418,59,2518745,10,31075,42690.59322033898,3107.5
QLD,4419,489,18590885,90,180796,38018.16973415133,2008.8444444444444
QLD,4420,730,27684093,82,208024,37923.41506849315,2536.878048780488
QLD,4421,945,40067600,159,335151,42399.57671957672,2107.867924528302
QLD,4422,286,10499336,56,123646,36710.96503496503,2207.964285714286
QLD,4423,118,1925034,12,21574,16313.847457627118,1797.8333333333333
QLD,4424,110,3292757,22,65110,29934.154545454545,2959.5454545454545
QLD,4425,139,4122657,13,47000,29659.40287769784,3615.3846153846152
QLD,4426,58,1902535,5,26957,32802.3275862069,5391.4
QLD,4427,185,6946766,31,96928,37550.086486486485,3126.7096774193546
QLD,4428,379,11901448,58,204902,31402.23746701847,3532.793103448276
QLD,4454,509,19329975,55,111398,37976.37524557957,2025.418181818182
QLD,4455,5119,297295420,1032,2113947,58076.85485446376,2048.3982558139537
QLD,4462,50,2274132,6,10301,45482.64,1716.8333333333333
QLD,4465,708,31184590,137,383860,44046.03107344633,2801.897810218978
QLD,4467,104,1936241,13,30193,18617.701923076922,2322.5384615384614
QLD,4468,202,5679432,26,63354,28116.0,2436.6923076923076
QLD,4470,1902,95766300,375,665788,50350.31545741325,1775.4346666666668
QLD,4472,765,34664745,93,234685,45313.39215686275,2523.494623655914
QLD,4477,270,10124355,39,97575,37497.61111111111,2501.923076923077
QLD,4478,275,13453632,35,78379,48922.29818181818,2239.4
QLD,4480,448,19126861,81,210437,42693.88616071428,2597.9876543209875
QLD,4481,77,3915272,14,37847,50847.68831168831,2703.3571428571427
QLD,4482,80,5489629,23,55355,68620.3625,2406.7391304347825
QLD,4486,375,10303647,79,204807,27476.392,2592.493670886076
QLD,4487,1789,86948077,360,881116,48601.4963666853,2447.5444444444443
QLD,4488,106,6116464,21,58726,57702.49056603773,2796.4761904761904
QLD,4490,655,27366781,90,174237,41781.345038167936,1935.9666666666667
QLD,4491,48,755775,7,10857,15745.3125,1551.0
QLD,4492,154,9638393,32,85026,62586.96753246753,2657.0625
QLD,4494,74,3345186,15,37202,45205.21621621621,2480.133333333333
QLD,4496,171,8253316,46,124271,48265.005847953216,2701.5434782608695
QLD,4497,232,7862956,45,122306,33892.05172413793,2717.911111111111
QLD,4498,114,5092492,35,112513,44670.98245614035,3214.657142857143
QLD,4500,26319,1546202396,6844,15850104,58748.523728105174,2315.912331969608
QLD,4501,3364,174355903,849,1833821,51829.935493460165,2159.9776207302707
QLD,4502,5205,290587783,1316,2870167,55828.58463016331,2180.977963525836
QLD,4503,28504,1558973478,7581,17696227,54693.14755823744,2334.2866376467487
QLD,4504,11642,677067909,3287,8206864,58157.353461604536,2496.764222695467
QLD,4505,13469,730208190,3658,9317508,54213.98693295716,2547.159103335156
QLD,4506,12914,635132112,3302,7758295,49181.67198389345,2349.574500302847
QLD,4507,9315,460220771,1780,4471023,49406.41663982823,2511.8106741573033
QLD,4508,9660,458706372,2526,6144815,47485.13167701863,2432.6266825019793
QLD,4509,21081,1276303202,5935,14472120,60542.820644181964,2438.436394271272
QLD,4510,26809,1266893597,6582,16061003,47256.27949569174,2440.1402309328473
QLD,4511,4843,244501788,1252,3194668,50485.6056163535,2551.6517571884983
QLD,4512,2186,119778859,500,1257118,54793.622598353155,2514.236
QLD,4514,3777,191724534,994,2538966,50761.06274821287,2554.291750503018
QLD,4515,2515,124853774,489,1076805,49643.64771371769,2202.0552147239264
QLD,4516,2676,147400034,677,1811535,55082.22496263079,2675.82717872969
QLD,4517,551,30054616,162,401186,54545.58257713249,2476.456790123457
QLD,4518,3068,160304147,756,1859004,52250.373859191655,2459.0
QLD,4519,5182,271869231,1339,3262570,52464.151099961404,2436.572068707991
QLD,4520,8725,686328954,1750,4832702,78662.34429799426,2761.544
QLD,4521,3020,189358729,696,1853104,62701.56589403973,2662.5057471264367
QLD,4550,2680,136137776,704,1629097,50797.6776119403,2314.0582386363635
QLD,4551,36674,1973273965,9560,23266489,53805.80152151388,2433.7331589958158
QLD,4552,5262,255094307,809,1937890,48478.58361839605,2395.414091470952
QLD,4553,4987,280995466,1406,3581221,56345.591738520154,2547.0988620199146
QLD,4554,1217,65576579,275,693812,53883.79539852095,2522.9527272727273
QLD,4555,4346,240783539,1003,2362275,55403.483433041874,2355.209371884347
QLD,4556,27287,1601231140,6551,15058866,58681.09869168468,2298.712562967486
QLD,4557,12809,723322239,3368,8392979,56469.84456241705,2491.977137767221
QLD,4558,13164,673809545,3180,7320415,51185.77522029778,2302.0172955974845
QLD,4559,4045,217490052,995,2308219,53767.62719406675,2319.8180904522615
QLD,4560,19988,1020056119,4868,10522951,51033.42600560336,2161.657970419063
QLD,4561,5077,276586311,1164,2745360,54478.2964349025,2358.556701030928
QLD,4562,5471,314654751,1115,2540471,57513.20617802961,2278.4493273542603
QLD,4563,5436,288130460,1078,2503887,53004.131714495954,2322.7152133580703
QLD,4564,7142,380337647,1770,3903655,53253.66101932232,2205.454802259887
QLD,4565,8318,401210800,1770,3890130,48234.046645828326,2197.813559322034
QLD,4566,5572,347491781,921,2279804,62363.92336683417,2475.357220412595
QLD,4567,7879,540683762,1500,3933189,68623.39916233024,2622.126
QLD,4568,2224,109894073,512,1092177,49412.80260791367,2133.158203125
QLD,4569,987,45096314,195,424357,45690.28774062817,2176.1897435897436
QLD,4570,22435,1031488783,4660,9735625,45976.76768442166,2089.18991416309
QLD,4571,465,20193165,77,221196,43426.16129032258,2872.6753246753246
QLD,4572,2737,178265088,692,1744799,65131.56302521008,2521.385838150289
QLD,4573,18326,1044086762,4563,10844899,56972.976208665285,2376.703703703704
QLD,4574,769,33740162,149,322104,43875.37321196359,2161.771812080537
QLD,4575,16581,1033203247,4085,10455664,62312.480972197096,2559.526070991432
QLD,4580,1984,79559711,311,767484,40100.660786290326,2467.7942122186496
QLD,4581,758,33841468,155,343449,44645.736147757256,2215.8
QLD,4600,371,15527852,68,139254,41854.04851752021,2047.8529411764705
QLD,4601,559,20604058,63,155069,36858.77996422182,2461.4126984126983
QLD,4605,1979,81417849,313,599270,41140.90399191511,1914.6006389776358
QLD,4606,1210,53653463,272,499598,44341.704958677685,1836.7573529411766
QLD,4608,466,20332435,86,191735,43631.8347639485,2229.4767441860463
QLD,4610,7713,384578225,1588,2712962,49861.043044211074,1708.4143576826195
QLD,4611,63,1966008,6,17478,31206.47619047619,2913.0
QLD,4612,151,4600469,23,40587,30466.6821192053,1764.6521739130435
QLD,4613,323,10656071,56,128620,32990.93188854489,2296.785714285714
QLD,4614,510,20310100,105,159835,39823.72549019608,1522.2380952380952
QLD,4615,3049,136865405,621,1209503,44888.62085929813,1947.669887278583
QLD,4620,205,8375058,30,77033,40853.94146341463,2567.766666666667
QLD,4621,780,28909694,95,199111,37063.71025641025,2095.9052631578948
QLD,4625,1531,63605283,280,593062,41544.92684519922,2118.0785714285716
QLD,4626,1341,53489508,239,512070,39887.776286353466,2142.5523012552303
QLD,4627,350,13658927,37,65072,39025.50571428571,1758.7027027027027
QLD,4630,1270,53173936,163,331626,41869.24094488189,2034.515337423313
QLD,4650,15486,712860244,2938,5795087,46032.56128115718,1972.4598366235534
QLD,4655,30292,1477116842,6893,15024521,48762.605374356266,2179.6780792107934
QLD,4659,2082,86579333,410,868667,41584.69404418828,2118.7
QLD,4660,3552,201673150,608,1234503,56777.35078828829,2030.4325657894738
QLD,4662,302,14162823,68,159794,46896.76490066225,2349.9117647058824
QLD,4670,41871,2160860076,8656,18846223,51607.55835781329,2177.2438770794824
QLD,4671,2827,116845440,577,1293598,41331.956137247966,2241.937608318891
QLD,4673,319,14234255,62,152145,44621.48902821317,2453.951612903226
QLD,4674,654,28421653,119,321538,43458.18501529052,2702.0
QLD,4676,90,4702723,13,47341,52252.47777777778,3641.6153846153848
QLD,4677,2049,102000126,417,1002919,49780.44216691069,2405.0815347721823
QLD,4678,453,24515114,90,194836,54117.24944812362,2164.8444444444444
QLD,4680,29497,2007697656,7889,15232713,68064.46947147168,1930.8800861959692
QLD,4694,129,7223300,29,53260,55994.573643410855,1836.551724137931
QLD,4695,547,33381548,159,336619,61026.595978062156,2117.1006289308175
QLD,4697,85,3900423,13,22874,45887.32941176471,1759.5384615384614
QLD,4699,230,12512174,38,77814,54400.75652173913,2047.7368421052631
QLD,4700,9071,579381084,1751,3514629,63871.79847866829,2007.2124500285552
QLD,4701,23502,1394032542,4552,9192789,59315.48557569568,2019.5054920913883
