State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
NSW,2770,28302,1384789596,6235,18009791,48929.0366758533,2888.498957497995
NSW,2773,3793,285391610,859,2221641,75241.65831795412,2586.310826542491
NSW,2774,7844,514456566,2020,4947646,65585.99770525242,2449.329702970297
NSW,2775,855,47787725,175,463690,55892.07602339181,2649.657142857143
NSW,2776,2487,160486729,638,1399411,64530.2488942501,2193.4341692789967
NSW,2777,10697,669748558,2671,6367538,62610.87762924184,2383.952826656683
NSW,2778,1524,90912262,388,959271,59653.71522309711,2472.34793814433
NSW,2779,2832,160267356,715,1343729,56591.58050847457,1879.3412587412588
NSW,2780,7528,398473779,1334,2804681,52932.223565356006,2102.45952023988
NSW,2782,3553,213304649,702,1650974,60035.08274697439,2351.814814814815
NSW,2783,1578,84624592,389,713601,53627.751584283906,1834.4498714652957
NSW,2784,737,40568386,173,464253,55045.29986431479,2683.543352601156
NSW,2785,2696,144033273,498,1042506,53424.80452522255,2093.385542168675
NSW,2786,687,36546706,117,255711,53197.53420669578,2185.5641025641025
NSW,2787,2426,125442359,566,1208123,51707.48516075845,2134.4929328621906
NSW,2790,7507,431820919,1557,3074460,57522.43492740109,1974.6050096339113
NSW,2791,157,7349025,39,63209,46809.076433121016,1620.7435897435898
NSW,2792,217,9363341,45,104080,43149.03686635945,2312.8888888888887
NSW,2793,481,25097423,93,220552,52177.59459459459,2371.52688172043
NSW,2794,5535,259055102,1124,2352283,46803.08979223126,2092.7784697508896
NSW,2795,23733,1362153567,5877,11527102,57394.91707748704,1961.3922069082867
NSW,2797,236,10485512,59,105174,44430.13559322034,1782.6101694915253
NSW,2798,1280,82740181,326,706127,64640.76640625,2166.0337423312885
NSW,2799,2254,118294272,712,1390248,52481.930789707185,1952.5955056179776
NSW,2800,26064,1587401375,7618,15040572,60903.98154542664,1974.346547650302
NSW,2803,161,7186178,30,92330,44634.64596273292,3077.6666666666665
NSW,2804,1414,64250022,294,545042,45438.487977369165,1853.8843537414966
NSW,2805,235,9618380,51,115614,40929.27659574468,2266.9411764705883
NSW,2806,440,20162255,110,210014,45823.306818181816,1909.2181818181818
NSW,2807,170,7478901,41,97428,43993.535294117646,2376.2926829268295
NSW,2808,68,2721709,12,26491,40025.132352941175,2207.5833333333335
NSW,2809,104,5111603,14,20049,49150.028846153844,1432.0714285714287
NSW,2810,1639,72395015,287,614256,44170.23489932886,2140.2648083623694
NSW,2817,86,2227625,14,42168,25902.616279069767,3012.0
