Listing Type,USED Dealer ad
,
Row Labels,Count of Suburb
Grafton,23
Broadmeadow,23
East Bunbury,23
Bassendean,23
Heatherbrae,23
Hermit Park,23
Stanmore,22
Newstead,22
Palmyra,22
Upper Mount Gravatt,22
Lonsdale,22
North Gosford,22
Applecross,22
Mount Isa,21
St Marys,21
Lambton,21
Ebbw Vale,21
Perth Airport,20
Morwell,20
Somersby,20
Rosebery,20
Surry Hills,20
Loganholme,20
Crookwell,20
Bairnsdale,20
Valley View,19
Wacol,19
Mount Barker,19
Gatton,19
East Victoria Park,19
Ottoway,18
Melville - HyundaiMelville,18
South Grafton,18
West Tamworth,18
Taylors Beach,18
Baringa,18
Beverly Hills,18
Derrimut,18
Golden Square,18
Caboolture,18
Brighton,18
Youngtown,17
Smeaton Grange,17
Rushcutters Bay,17
Victor Harbor,17
Benalla,17
Ballina,17
Bega,17
Kelso,17
Tugun,16
Pendle Hill,16
South Geelong,16
Sunnybank Hills,16
Windang,16
Rothwell,16
Northgate,16
Essendon Hyundai-UsedEssendon Fields,16
Doncaster,16
Caloundra West,16
Glebe,16
Kempsey,16
Lennock HyundaiPhillip,16
Mayfield,15
Mowbray,15
LOXTON,15
Warners Bay,15
Ormeau,15
Condell Park,15
Greenslopes,15
Dingley Village,15
Busselton,15
Homebush West,15
Bellevue,15
Goondiwindi,15
Petersham,14
Woodville Park,14
Perth,14
Medlow Bath,14
Mount Louisa,14
Sydney,14
Yarram,14
Albany,14
Hawthorn East,14
Canley Vale,14
Dover Heights,14
Bundaberg West,14
Albion,14
Kadina,14
South Fremantle,13
Torrensville,13
Narrabri,13
Moffat Beach,13
Steinborner Automotive BarossaNuriootpa,13
Oak Flats,13
Wagga Wagga,13
Watsonia,13
Embleton,13
Kingaroy,13
Broadview,13
Griffith,13
Warana,12
Peter Page  UsedElizabeth,12
Oakey,12
Mooloolaba,12
Park Holme,12
Mareeba,12
Adamstown,12
Allenby Gardens,12
Eastern Creek,12
Geissler Motors Goulburn (used)Goulburn,12
Harrington,12
Rocherlea,11
Trinity Earlville Used CarsCairns,11
Moree,11
Medindie,11
Nerang,11
Marrickville,11
Kogarah,11
Baulkham Hills,11
Hornsby,11
Holtze,11
GERALDTON,11
Harvey,11
Turrella,10
Suttons Hyundai ArncliffeArncliffe,10
Peakhurst,10
Miedecke Motor GroupPort Macquarie,10
Sandgate,10
Margaret River,10
Berwick HyundaiBerwick,10
Airport West,10
Hyde Park,10
Clinton,10
Hume,10
Erina,10
Broome,10
Merrylands,9
Windsor Auto Group - UsedMcgraths Hill,9
Sunshine,9
Oxley,9
Unley Park,9
Atherton,9
Greystanes,9
Beaconsfield,9
Dudley Park,9
Booth's Motor Group Tuggerah UsedTuggerah,9
Chinchilla,9
Gosford,9
Nedlands,8
Woongoolba,8
Loftville,8
Tingalpa,8
Llewellyn HyundaiBooval,8
Mantello HyundaiRoxburgh Park,8
Payneham,8
Maribyrnong,8
Naracoorte,8
Maylands,8
Goolwa,8
Alto Skoda ArtarmonArtarmon,8
Chermside South,8
Hampstead Gardens,8
Woodville,7
Williamstown North,7
Marcoola,7
Margate,7
South Bunbury,7
Plympton Park,7
Young,7
West Croydon,7
Fullarton,7
Alexandra Headland,7
Gardenvale,7
Bells Creek,7
Briar Hill,7
Cranbourne HyundaiCranbourne,7
Tamworth,6
Port of Brisbane,6
Verdun,6
Queenstown,6
Northam,6
Newcastle West,6
Yangebup,6
Moruya,6
Cardiff Hyundai Used CarsCardiff,6
Alberton,6
Essendon,6
Islington,6
Lakes HyundaiNorth Lakes,6
Clare,6
East Brisbane,6
Biggera Waters,6
Banyo,6
Norlane,5
Murarrie,5
Skye,5
Roma,5
Trinity Gardens,5
Mill Park,5
Bundaberg Motor GroupBundaberg,5
Holden Hill,5
Bowral,5
Glenelg East,5
Banksmeadow,5
Kloster Hyundai Hamilton - UsedHamilton,5
Burswood,5
Heidelberg West,5
Booth's Motor Group North Gosford UsedNorth Gosford,5
Fairy Meadow,5
Northpoint FleurieuVictor Harbor,4
Webberton,4
Mount Eliza,4
Riverhills,4
West Wodonga,4
Murgon,4
Waratah,4
Medindie Gardens,4
Orange,4
Roseville,4
West Hobart,4
Bordertown,4
Col Crawford MG,4
Chevallum,4
Black Rock,4
Kialla,4
Emerald,4
Collie,4
Highway Ford and Hyundai UsedRutherford,4
Gilles Plains,4
Batemans Bay ToyotaBatemans Bay,4
Lisarow,3
Menai,3
Reynella Hyundai UsedReynella,3
Wonthella,3
Lyndoch,3
Clayton South,3
Calamvale,3
Lancaster Motor GroupSingleton,3
Clemton Park,3
Kingston,3
Clarence Gardens,3
Bundall,3
Cairns City,3
Fairfield,3
Berkeley Vale,3
Mitchell,2
Monterey,2
Toorak,2
Narre Warren South,2
Williamstown,2
Waikerie,2
West Ipswich,2
Forest Lodge,2
Ascot,2
Frankston Subaru/Hyundai - Used CarsSeaford,2
Cranbourne West,2
Beresford,2
Bedford,2
Huntingdale,2
Holland Park,2
CURTIS COAST AUTOMOTIVEClinton,2
Balaklava,2
Geebung,2
Port Augusta,1
Quirindi,1
North Wollongong,1
Scenic MotorsBeaudesert,1
Oatley,1
Warrandyte,1
Mona Vale,1
St James,1
North coogee,1
Lynbrook,1
Thornlands,1
West MotorsCobram,1
Lilydale Hyundai CJD & LDVLilydale,1
East Rockingham,1
Ayr,1
Huston MotorsKingaroy,1
Beenleigh,1
Ermington,1
Cleve,1
Casino,1
Grand Total,48293
