Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
WA6431,WA,6431,96,5194667,17,36901,54111.11458,2170.647059
WA6432,WA,6432,3925,278267858,876,1565809,70896.26955,1787.453196
WA6433,WA,6433,188,16254147,31,93926,86458.22872,3029.870968
WA6437,WA,6437,252,21847135,48,96375,86694.98016,2007.8125
WA6438,WA,6438,305,17922817,49,101374,58763.33443,2068.857143
WA6440,WA,6440,247,15767851,27,69906,63837.45344,2589.111111
WA6442,WA,6442,1180,95687904,342,612559,81091.44407,1791.108187
WA6443,WA,6443,332,17529988,72,165513,52801.16867,2298.791667
WA6445,WA,6445,131,11063945,8,36714,84457.59542,4589.25
WA6446,WA,6446,109,13457697,17,74351,123465.1101,4373.588235
WA6447,WA,6447,78,8372509,8,19369,107339.859,2421.125
WA6448,WA,6448,195,11794750,37,90362,60485.89744,2442.216216
WA6450,WA,6450,7984,489986060,1549,3315956,61370.9995,2140.707553
WA6460,WA,6460,423,26525921,58,119353,62709.0331,2057.810345
WA6461,WA,6461,385,27935305,51,124555,72559.23377,2442.254902
WA6466,WA,6466,65,5159382,3,5780,79375.10769,1926.666667
WA6468,WA,6468,185,18192218,29,71600,98336.31351,2468.965517
WA6472,WA,6472,144,10085343,10,18772,70037.10417,1877.2
WA6475,WA,6475,231,13574799,27,46912,58765.36364,1737.481481
WA6477,WA,6477,166,11664034,13,32950,70265.26506,2534.615385
WA6479,WA,6479,366,25899905,48,115969,70764.76776,2416.020833
WA6485,WA,6485,274,21553593,41,75627,78662.74818,1844.560976
WA6488,WA,6488,99,6524063,13,23418,65899.62626,1801.384615
WA6490,WA,6490,119,6722214,21,44334,56489.19328,2111.142857
WA6501,WA,6501,624,38787534,138,286423,62159.50962,2075.528986
WA6502,WA,6502,726,40450954,176,377747,55717.56749,2146.289773
WA6503,WA,6503,1319,68005430,247,491285,51558.32449,1989.008097
WA6504,WA,6504,68,4142232,18,32740,60915.17647,1818.888889
WA6505,WA,6505,90,4829793,11,19453,53664.36667,1768.454545
WA6507,WA,6507,325,22662025,39,87220,69729.30769,2236.410256
WA6509,WA,6509,87,5856443,22,69318,67315.43678,3150.818182
WA6510,WA,6510,1133,68780734,235,399059,60706.73786,1698.123404
WA6511,WA,6511,334,20618408,50,132500,61731.76048,2650
WA6512,WA,6512,66,4858728,7,9842,73617.09091,1406
WA6513,WA,6513,123,10418341,19,44205,84701.95935,2326.578947
WA6514,WA,6514,298,16906251,63,136920,56732.38591,2173.333333
WA6515,WA,6515,220,16025423,42,79147,72842.83182,1884.452381
WA6516,WA,6516,1143,65807116,190,400610,57574.02975,2108.473684
WA6517,WA,6517,286,18569249,95,189159,64927.44406,1991.147368
WA6518,WA,6518,146,7776627,28,66951,53264.56849,2391.107143
WA6519,WA,6519,276,17611576,71,149352,63810.05797,2103.549296
WA6521,WA,6521,239,12055039,33,79753,50439.49372,2416.757576
WA6522,WA,6522,314,26627142,56,109992,84799.81529,1964.142857
WA6525,WA,6525,2034,128543361,324,710464,63197.32596,2192.790123
WA6528,WA,6528,277,18739908,44,108382,67653.09747,2463.227273
WA6530,WA,6530,18848,1172207072,4156,8016279,62192.65025,1928.844803
WA6531,WA,6531,373,23361670,54,130551,62631.82306,2417.611111
WA6532,WA,6532,3346,227291263,718,1389592,67929.24776,1935.364903
WA6535,WA,6535,826,52652009,143,300818,63743.3523,2103.622378
WA6536,WA,6536,870,47195408,152,293439,54247.5954,1930.519737
WA6537,WA,6537,499,26342660,81,151529,52790.9018,1870.728395
WA6556,WA,6556,1284,80279993,275,535618,62523.35903,1947.701818
WA6558,WA,6558,456,26488384,105,204287,58088.5614,1945.590476
WA6560,WA,6560,717,40673137,178,346218,56726.82985,1945.044944
WA6562,WA,6562,741,45815681,166,362988,61829.52901,2186.674699
WA6564,WA,6564,206,12296163,33,72148,59690.11165,2186.30303
WA6566,WA,6566,1945,113048847,336,755782,58122.80051,2249.35119
WA6567,WA,6567,123,6435663,15,21641,52322.46341,1442.733333
WA6568,WA,6568,137,9938713,22,46132,72545.35036,2096.909091
WA6569,WA,6569,195,14028223,37,80677,71939.60513,2180.459459
WA6571,WA,6571,70,5395311,16,28306,77075.87143,1769.125
WA6574,WA,6574,48,4114265,6,9335,85713.85417,1555.833333
WA6575,WA,6575,97,8986149,11,25290,92640.71134,2299.090909
WA6603,WA,6603,692,43674282,136,249154,63113.12428,1832.014706
WA6606,WA,6606,138,10776734,10,18814,78092.27536,1881.4
WA6608,WA,6608,65,5150827,3,4760,79243.49231,1586.666667
WA6609,WA,6609,565,40582998,120,244751,71828.31504,2039.591667
WA6612,WA,6612,122,9764507,14,41632,80036.94262,2973.714286
WA6620,WA,6620,184,10005632,40,99289,54378.43478,2482.225
WA6623,WA,6623,325,23353470,59,117835,71856.83077,1997.20339
WA6630,WA,6630,278,19548494,53,121966,70318.32374,2301.245283
WA6635,WA,6635,77,3989953,17,24656,51817.57143,1450.352941
WA6638,WA,6638,210,11725753,37,75674,55836.91905,2045.243243
WA6639,WA,6639,50,2125090,2,4080,42501.8,2040
WA6640,WA,6640,101,3921499,7,13754,38826.72277,1964.857143
WA6642,WA,6642,417,23903966,54,100647,57323.65947,1863.833333
WA6646,WA,6646,144,6153500,19,40243,42732.63889,2118.052632
WA6701,WA,6701,2928,159569627,360,640157,54497.82343,1778.213889
WA6707,WA,6707,1784,114069229,303,490077,63940.15078,1617.415842
WA6710,WA,6710,497,43436357,105,195111,87397.09658,1858.2
WA6713,WA,6713,697,68764620,154,268391,98657.99139,1742.798701
WA6714,WA,6714,10204,910920764,2428,4514960,89270.94904,1859.538715
WA6716,WA,6716,353,36236410,56,71398,102652.7195,1274.964286
WA6718,WA,6718,258,13337346,59,114647,51695.13953,1943.169492
WA6720,WA,6720,1310,120473210,288,499303,91964.28244,1733.690972
WA6721,WA,6721,2803,288519634,827,2005745,102932.4417,2425.326481
WA6722,WA,6722,6145,510483870,1821,4220174,83073.04638,2317.503569
WA6725,WA,6725,7666,490640082,1301,2183741,64002.09783,1678.509608
WA6726,WA,6726,2036,125700174,343,505256,61738.7888,1473.049563
WA6728,WA,6728,2307,121831213,415,690391,52809.36844,1663.592771
WA6740,WA,6740,524,27141836,56,94279,51797.39695,1683.553571
WA6743,WA,6743,3737,236787346,521,907116,63362.9505,1741.105566
WA6751,WA,6751,1744,159391997,292,543740,91394.49369,1862.123288
WA6753,WA,6753,2719,235943855,429,820783,86775.96727,1913.247086
WA6754,WA,6754,736,73242902,96,166841,99514.8125,1737.927083
WA6760,WA,6760,104,6054940,25,63021,58220.57692,2520.84
WA6765,WA,6765,1027,47070581,140,256526,45833.08763,1832.328571
WA6770,WA,6770,926,45782811,84,162245,49441.48056,1931.488095
WA6798,WA,6798,835,61667683,176,188721,73853.51257,1072.278409
WA6799,WA,6799,272,15041375,19,19369,55299.17279,1019.421053
WA6872,WA,6872,140,10994905,26,80901,78535.03571,3111.576923
WA6904,WA,6904,163,19365034,27,50125,118803.8896,1856.481481
WA6910,WA,6910,84,7351337,13,35364,87515.91667,2720.307692
WA6916,WA,6916,63,3791791,17,47618,60187.15873,2801.058824
WA6918,WA,6918,54,4238037,10,22190,78482.16667,2219
WA6919,WA,6919,304,19273468,187,609722,63399.56579,3260.545455
WA6922,WA,6922,58,4825148,9,22013,83192.2069,2445.888889
WA6923,WA,6923,70,4085871,18,85513,58369.58571,4750.722222
WA6924,WA,6924,54,3348777,18,62843,62014.38889,3491.277778
WA6926,WA,6926,66,4087598,10,15896,61933.30303,1589.6
WA6936,WA,6936,113,7508735,20,42333,66448.9823,2116.65
WA6943,WA,6943,58,3608928,11,20199,62222.89655,1836.272727
WA6947,WA,6947,49,2508380,6,9648,51191.42857,1608
WA6951,WA,6951,121,10306183,18,57913,85175.06612,3217.388889
WA6952,WA,6952,69,6215839,11,19942,90084.62319,1812.909091
WA6953,WA,6953,62,5913623,12,67509,95381.01613,5625.75
WA6959,WA,6959,88,6386220,10,22874,72570.68182,2287.4
WA6964,WA,6964,52,3616870,11,23542,69555.19231,2140.181818
WA6979,WA,6979,78,11849157,15,31006,151912.2692,2067.066667
WA6981,WA,6981,65,5737358,14,27746,88267.04615,1981.857143
WA6985,WA,6985,68,5752521,12,22897,84595.89706,1908.083333
WAWA other,WA,WA other,3625,263491336,712,1659615,72687.2651,2330.919944
