Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
WA6014,WA,6014,13790,1339557694,2856,6205190,97139.78927,2172.685574
WA6015,WA,6015,4686,721967173,734,1921830,154068.9656,2618.297003
WA6016,WA,6016,6608,515666860,1626,3555496,78036.75242,2186.651907
WA6017,WA,6017,3140,175565412,889,1728073,55912.55159,1943.839145
WA6018,WA,6018,25826,2017883879,6571,14793686,78133.81395,2251.359915
WA6019,WA,6019,15614,1239660393,4283,9899972,79394.15864,2311.45739
WA6020,WA,6020,14301,1251312859,3092,7562726,87498.27697,2445.901035
WA6021,WA,6021,12528,816452889,2976,6432807,65170.24976,2161.561492
WA6022,WA,6022,3159,185518359,739,1621063,58726.92593,2193.589986
WA6023,WA,6023,9771,693872947,2159,4615846,71013.50394,2137.955535
WA6024,WA,6024,8119,479593444,1943,4020375,59070.50671,2069.158518
WA6025,WA,6025,19787,1403271993,4777,10882797,70918.88578,2278.165585
WA6026,WA,6026,14147,916228603,3079,6522562,64764.86909,2118.402728
WA6027,WA,6027,26699,1699354573,6379,13556856,63648.62253,2125.232168
WA6028,WA,6028,15167,1076307732,3899,9107866,70963.78532,2335.949218
WA6029,WA,6029,2034,196174232,424,1271604,96447.50836,2999.066038
WA6030,WA,6030,23586,1440816036,6153,13264593,61087.76545,2155.792784
WA6031,WA,6031,10542,641450179,3213,6879380,60847.10482,2141.107999
WA6032,WA,6032,170,11154022,28,64048,65611.89412,2287.428571
WA6033,WA,6033,316,20538816,45,88275,64996.25316,1961.666667
WA6034,WA,6034,1790,110487460,591,1243261,61724.83799,2103.656514
WA6035,WA,6035,5564,339806868,1613,3417949,61072.40618,2119.00124
WA6036,WA,6036,9586,588038330,2769,6031198,61343.45191,2178.114121
WA6037,WA,6037,1924,117641845,498,1044140,61144.41008,2096.666667
WA6038,WA,6038,5341,336205655,1712,3503065,62948.07246,2046.182827
WA6041,WA,6041,781,43110766,159,404493,55199.4443,2543.981132
WA6043,WA,6043,117,7949711,16,27581,67946.24786,1723.8125
WA6044,WA,6044,829,47874435,132,243763,57749.62002,1846.689394
WA6050,WA,6050,10074,942096829,1948,4449363,93517.65227,2284.067248
WA6051,WA,6051,8433,562976916,1921,3696352,66758.79473,1924.181156
WA6052,WA,6052,7124,522548356,1647,3386558,73350.41494,2056.197936
WA6053,WA,6053,9294,631596919,2185,4198170,67957.49075,1921.359268
WA6054,WA,6054,11720,711128162,2737,5081613,60676.46433,1856.636098
WA6055,WA,6055,16764,1088081314,5009,9620712,64905.8288,1920.685167
WA6056,WA,6056,23133,1373563518,5315,10181927,59376.80016,1915.696519
WA6057,WA,6057,10113,639914763,2417,4595728,63276.45239,1901.418287
WA6058,WA,6058,7549,448510738,1739,3125186,59413.26507,1797.116734
WA6059,WA,6059,14482,921609955,3067,6692078,63638.30652,2181.962178
WA6060,WA,6060,15785,975288531,4211,8809582,61785.7796,2092.04037
WA6061,WA,6061,21949,1067442226,5835,11393033,48632.84095,1952.533505
WA6062,WA,6062,20106,1098433183,4629,9374898,54632.10897,2025.253402
WA6063,WA,6063,8126,422657935,1890,3673683,52013.03655,1943.747619
WA6064,WA,6064,16006,785085193,3654,6997553,49049.43103,1915.039135
WA6065,WA,6065,39780,2460735399,10694,22878017,61858.60732,2139.332055
WA6066,WA,6066,10648,566065273,2438,4953637,53161.65224,2031.844545
WA6067,WA,6067,67,4068168,17,40804,60718.92537,2400.235294
WA6069,WA,6069,25065,1594353128,7222,14401903,63608.74239,1994.171005
WA6070,WA,6070,2272,177076329,519,1151476,77938.52509,2218.643545
WA6071,WA,6071,2228,150107251,454,880374,67373.09291,1939.14978
WA6072,WA,6072,539,33580300,115,266668,62301.11317,2318.852174
WA6073,WA,6073,1971,127650319,352,632110,64764.24099,1795.767045
WA6074,WA,6074,642,38003862,146,263346,59196.04673,1803.739726
WA6076,WA,6076,13561,926078758,2562,5236718,68289.85753,2043.996097
WA6077,WA,6077,757,48005518,147,291167,63415.47952,1980.727891
WA6078,WA,6078,504,33670830,98,247343,66807.20238,2523.908163
WA6081,WA,6081,2999,206476205,692,1433310,68848.35112,2071.257225
WA6082,WA,6082,2017,128742396,425,796186,63828.65444,1873.378824
WA6083,WA,6083,2301,173771156,451,984235,75519.84181,2182.339246
WA6084,WA,6084,5065,329796470,1301,2692145,65112.82725,2069.289008
WA6090,WA,6090,139,11555359,21,63887,83132.07914,3042.238095
WA6100,WA,6100,10127,689886424,2333,4752035,68123.47428,2036.877411
WA6101,WA,6101,10377,678631181,2509,4780413,65397.62754,1905.306098
WA6102,WA,6102,7273,354263371,1666,3031251,48709.38691,1819.478391
WA6103,WA,6103,6647,418997948,1753,3252828,63035.64736,1855.577867
WA6104,WA,6104,8868,548973835,2288,4262819,61905.03327,1863.120192
WA6105,WA,6105,9205,515934727,2425,4507054,56049.4,1858.578969
WA6106,WA,6106,134,10790130,28,52867,80523.35821,1888.107143
WA6107,WA,6107,27172,1403074340,6662,12060242,51636.77094,1810.303512
WA6108,WA,6108,13112,700867306,2969,5569945,53452.35708,1876.034018
WA6109,WA,6109,6619,340881881,1550,3030752,51500.5108,1955.323871
WA6110,WA,6110,23429,1317334977,5850,11155021,56226.6839,1906.841197
WA6111,WA,6111,13317,773735856,2835,5482223,58101.36337,1933.764727
WA6112,WA,6112,36555,2200943795,10073,19666136,60209.10395,1952.361362
WA6120,WA,6120,55,3741916,21,23369,68034.83636,1112.809524
WA6121,WA,6121,1909,127688597,411,931271,66887.68832,2265.86618
WA6122,WA,6122,11859,763692615,3515,6994838,64397.72451,1989.996586
WA6123,WA,6123,1332,81999156,382,772247,61560.92793,2021.589005
WA6124,WA,6124,717,48474227,202,371064,67607.01116,1836.950495
WA6125,WA,6125,1924,124032732,457,845638,64466.07692,1850.411379
WA6126,WA,6126,154,8129843,28,58868,52791.18831,2102.428571
WA6147,WA,6147,8724,444483318,1906,3394968,50949.48624,1781.20042
WA6148,WA,6148,11073,734561501,2218,4170533,66338.07469,1880.312444
WA6149,WA,6149,11810,782664386,2425,4592961,66271.3282,1894.004536
WA6150,WA,6150,8297,540091559,1454,2783345,65094.80041,1914.267538
WA6151,WA,6151,11038,1036218181,2217,4976526,93877.34925,2244.711773
WA6152,WA,6152,15668,1166817663,3359,7046591,74471.38518,2097.824055
WA6153,WA,6153,13826,1354439444,2594,6337951,97963.21742,2443.311874
WA6154,WA,6154,6303,467092807,1275,2554574,74106.42662,2003.587451
WA6155,WA,6155,31656,1945822532,7279,13647616,61467.73225,1874.930073
WA6156,WA,6156,10688,885958712,2399,5285897,82892.84356,2203.375156
WA6157,WA,6157,8627,665910010,2037,4303874,77189.05877,2112.849288
WA6158,WA,6158,4964,453401615,1043,2427181,91337.95629,2327.115053
WA6159,WA,6159,2553,254883745,502,1245419,99836.95456,2480.914343
WA6160,WA,6160,5789,459087875,1216,2471874,79303.48506,2032.791118
WA6161,WA,6161,88,5234311,20,32301,59480.80682,1615.05
WA6162,WA,6162,7279,547669702,1547,2978560,75239.68979,1925.378151
WA6163,WA,6163,32227,2013436433,7713,15380878,62476.69448,1994.149877
WA6164,WA,6164,38637,2504482880,10878,21807602,64820.8422,2004.743703
WA6165,WA,6165,112,6455907,21,64233,57642.02679,3058.714286
WA6166,WA,6166,6522,455318421,1646,3680216,69812.69871,2235.854192
WA6167,WA,6167,14407,833871832,4055,7960197,57879.63018,1963.057213
WA6168,WA,6168,12450,720904685,3317,6511303,57903.99076,1963.009647
WA6169,WA,6169,19488,1177967472,5394,10477093,60445.78571,1942.360586
WA6170,WA,6170,9216,558194855,2942,5787871,60568.01812,1967.325289
WA6171,WA,6171,20407,1369314053,7357,15180080,67100.21331,2063.35191
WA6172,WA,6172,7608,476327292,2317,4672700,62608.73975,2016.702633
WA6173,WA,6173,7333,529582592,2527,5517795,72219.09069,2183.535813
WA6174,WA,6174,2951,190817908,968,2045240,64662.11725,2112.85124
WA6175,WA,6175,2284,154869704,690,1389607,67806.35026,2013.923188
WA6176,WA,6176,1210,79320445,436,863494,65554.08678,1980.490826
WA6180,WA,6180,3230,209140840,1044,2036062,64749.48607,1950.250958
WA6181,WA,6181,301,23021883,105,219098,76484.66113,2086.647619
WA6207,WA,6207,584,39271633,155,316714,67245.94692,2043.316129
WA6208,WA,6208,6420,396863063,1495,2911984,61816.67648,1947.815385
WA6209,WA,6209,935,55203327,198,458692,59040.99144,2316.626263
WA6210,WA,6210,39506,2402379775,9523,18502712,60810.5041,1942.949911
WA6211,WA,6211,4175,266051173,1069,2077224,63724.83186,1943.146866
WA6213,WA,6213,392,23890680,86,156526,60945.61224,1820.069767
WA6214,WA,6214,416,28144786,94,196741,67655.73558,2092.989362
WA6215,WA,6215,2221,137282683,471,898721,61811.20351,1908.112527
WA6218,WA,6218,256,13629477,50,121052,53240.14453,2421.04
WA6220,WA,6220,2792,161958165,562,972833,58007.93875,1731.019573
WA6221,WA,6221,144,7636603,24,39209,53031.96528,1633.708333
WA6223,WA,6223,139,7969905,19,53378,57337.44604,2809.368421
WA6224,WA,6224,757,42354578,152,321282,55950.56539,2113.697368
WA6225,WA,6225,4572,283508117,978,1623181,62009.64939,1659.694274
WA6226,WA,6226,559,39217359,131,240154,70156.27728,1833.236641
WA6227,WA,6227,460,28875135,97,178334,62772.03261,1838.494845
WA6228,WA,6228,110,5545154,16,29264,50410.49091,1829
WA6229,WA,6229,107,5484307,16,36119,51255.20561,2257.4375
WA6230,WA,6230,25068,1555845190,5723,10550128,62064.99082,1843.461122
WA6231,WA,6231,243,14640065,32,48496,60247.18107,1515.5
WA6232,WA,6232,6358,385768448,1549,2801439,60674.49638,1808.546804
WA6233,WA,6233,11663,745248246,2912,5406951,63898.50347,1856.782624
WA6236,WA,6236,1374,85088917,257,465962,61927.88719,1813.081712
WA6237,WA,6237,1576,100230064,313,667364,63597.75635,2132.153355
WA6239,WA,6239,2638,143640659,490,1100483,54450.59098,2245.883673
WA6240,WA,6240,89,3823458,11,21749,42960.20225,1977.181818
WA6244,WA,6244,958,53135954,121,322239,55465.50522,2663.132231
