Row Labels,Count of Suburb,Average of Price,Average of Vehicle Age
nswhamilton,127,37821.68504,5.559055118
nswhamilton east,1,5850,17
nswhamilton north,116,17127.93103,12.07758621
nswhamilton south,4,8125,19.25
nswhamilton valley,1,9000,14
nswhamlyn terrace,2,44000,6.5
nswharrington,13,10896.15385,15.15384615
nswhaymarket,2,25000,11
nswhazelbrook,1,30000,7
nswheatherbrae,23,32295.65217,6.347826087
nswhelensburgh,1,24000,7
nswhighway ford and hyundai usedrutherford,4,25334,4.75
nswhill top,1,16500,4
nswhillsdale,1,15000,8
nswhinchinbrook,2,8245,9
nswhomebush,137,25436.0292,9.372262774
nswhomebush bay,1,43000,5
nswhomebush west,15,24923.06667,12.93333333
nswhornsby,12,24274.16667,8.25
nswhoskinstown,2,2500,22
nswhunters hill,1,12000,16
nswhurstville,4,24750,7
nswillawong,1,69000,4
nswingleburn,38,22482.89474,11.5
nswinverell,2,25324.5,15
nswislington,6,18666,12.83333333
nswjamisontown,1,14500,7
nswjannali,2,39500,14.5
nswjerrabomberra,4,22362.5,10.5
nswjesmond,1,19000,6
nswjewells,1,9000,14
nswjilliby,1,38500,8
nswjindabyne,1,25900,7
nswkandos,1,8500,13
nswkarabar,1,10800,11
nswkariong,4,12095,12
nswkaruah,1,20000,11
nswkearsley,1,18000,7
nswkeiraville,1,51500,5
nswkellyville,6,26785,8.333333333
nswkellyville ridge,2,10000,12.5
nswkelso,18,30217.22222,4.611111111
nswkempsey,17,40105.11765,6.058823529
nswkew,1,35500,2
nswkiama,2,38000,8
nswkiama downs,1,25000,5
nswkillara,1,17500,7
nswkillarney heights,2,19250,17
nswkillarney vale,1,16990,7
nswkillcare heights,1,58995,2
nswkincumber,5,30497,6.8
nswkings langley,3,20666.66667,8
nswkings park,1,51000,6
nswkingscliff,2,25000,7.5
nswkingsford,2,44994.5,3
nswkingsgrove,1,38990,6
nswkingswood,93,31551.05376,6.053763441
nswkirrawee,45,30768.44444,6.422222222
nswkloster hyundai hamilton - usedhamilton,5,30669.8,4.4
nswkogarah,15,11250,12.53333333
nswkogarah bay,1,238000,13
nswkooragang,1,4690,18
nswkotara,1,25000,7
nswkurnell,1,42250,6
nswkurrajong,1,16500,7
nswkurri kurri,38,6739.324324,15.52631579
nswlake cathie,1,19999,8
nswlake haven,3,10566.66667,9
nswlake illawarra,1,14900,10
nswlake munmorah,3,25666.66667,9.333333333
nswlakemba,2,8995,10.5
nswlambton,22,37675,9.5
nswlancaster motor groupsingleton,3,23990,4.666666667
nswlane cove,1,19900,10
nswlane cove north,1,51900,4
nswlane cove west,1,53000,6
nswlansvale,83,16928.61446,11.39759036
nswlaurieton,1,23500,6
nswlavington,67,44647.50746,6.47761194
nswleeton,1,4500,15
nswleichhardt,48,16033.10417,12.47916667
nswlennox head,2,14500,28.5
nswlethbridge park,1,45500,4
nswleumeah,60,10235,14.43333333
nswleura,1,27500,6
nswlidcombe,49,10612.20408,14.06122449
nswlimeburners creek,1,65000,12
nswlindfield,30,63332.86667,4.166666667
nswlisarow,5,35990,12.2
nswlismore,62,27890,7.903225806
nswlithgow,26,31225.96154,6.192307692
nswlittle hartley,1,21990,9
nswliverpool,196,31597.20918,7.229591837
nswlockhart,1,8500,12
nswloftville,8,47879.125,6.375
nswlong jetty,1,45750,8
nswlongueville,1,43500,3
nswloomberah,1,95000,3
nswlorn,1,49490,5
nswluddenham,1,15200,7
nswlurnea,2,13900,10.5
nswmacksville,74,14840.81081,13.09459459
nswmaclean,1,10450,6
nswmacmasters beach,1,6500,13
nswmacquarie fields,1,13000,8
nswmacquarie park,2,23288,6
nswmaitland,59,28607.50847,6.355932203
nswmalabar,1,21800,6
nswmalua bay,1,10000,21
nswmanahan,3,6443.333333,14
nswmanly,4,18837.25,10.75
nswmanly vale,1,3200,22
nswmarayong,2,9700,12.5
nswmaroubra,6,24024.66667,7.333333333
nswmarrickville,16,158041.4375,6.75
nswmarsden park,3,54496.66667,4.333333333
nswmarsfield,1,60000,2
nswmartinsville,1,30000,2
nswmaryville,160,23027.0375,8.05
nswmascot,51,39038.2549,8.901960784
nswmatcham,1,70995,2
nswmayfield,16,19290.25,9.9375
nswmayfield east,23,14250.86957,12.13043478
nswmayfield west,80,20887.55128,9.7375
nswmays hill,1,18500,7
nswmcgraths hill,83,33650.91566,7.506024096
nswmeadowbank,2,43750,6
nswmedlow bath,14,18261.42857,13.92857143
nswmedowie,3,46066.66667,8.333333333
nswmenai,3,47990,5
nswmerrylands,13,12940.66667,14.69230769
nswmerrylands west,1,28500,6
nswmichelago,1,40500,8
nswmiedecke motor groupport macquarie,10,23790,6.7
nswmilperra,2,39995,6
nswminchinbury,1177,17308.86905,11.37043331
nswminto,107,17062.03738,12.47663551
nswmiranda,3,41166.66667,7
nswmittagong,1,28500,7
nswmollymook beach,1,28500,7
nswmona vale,2,44495,14
nswmonterey,2,21340,9.5
nswmoorebank,35,25390.05714,5.257142857
nswmoree,13,49470.76923,7.538461538
nswmorisset,1,29999,9
nswmoruya,7,38262.57143,6.428571429
nswmosman,35,51752.25714,4.828571429
nswmoss vale,49,37026.97917,5.469387755
nswmount annan,3,29483.33333,9.333333333
nswmount druitt,3,22000,10
nswmount pritchard,2,24000,7
nswmount warrigal,1,16500,11
nswmudgee,1,15200,5
nswmullumbimby,1,3500,18
nswmungindi,1,28000,7
nswmurwillumbah,2,22999.5,6.5
nswmuswellbrook,2,34745,7.5
nswnambucca heads,1,10000,28
nswnarellan,54,32159.87037,6.37037037
nswnarrabeen,1,46000,4
nswnarrabri,13,27220.76923,7.846153846
nswnelson bay,1,37950,18
nswnew lambton,40,38958.75,8.5
nswnewcastle,10,31839.9,14.4
nswnewcastle west,7,60380,5.714285714
nswnewee creek,1,10490,8
nswnewport,7,13710,13.14285714
nswniagara park,1,18000,9
nswnoraville,1,10000,14
nswnorth arm cove,2,32500,11.5
nswnorth gosford,22,31047.54545,7.636363636
nswnorth lambton,1,10500,11
nswnorth narrabeen,27,28039.85185,6.481481481
nswnorth nowra,1,23000,5
nswnorth parramatta,3,16199.66667,14.66666667
nswnorth richmond,2,32200,6.5
nswnorth rocks,1,5999,11
nswnorth ryde,3,18628.33333,7.333333333
nswnorth st marys,2,8500,14
nswnorth strathfield,45,33294.93333,8.911111111
nswnorth sydney,1,5950,26
nswnorth willoughby,1,9100,9
nswnorth wollongong,4,16620,7.75
nswnorthmead,3,18028.33333,9.333333333
nswnowra,86,26495.69767,6.88372093
nswoak flats,13,7862.166667,16.15384615
nswoakville,1,23500,10
nswoatley,2,32990,8.5
nswocean shores,2,35500,8
nsworan park,5,21780,9.8
nsworange,10,18855.9,9.1
nsworchard hills,1,14000,6
nswoyster bay,2,71775,11
nswpaddington,1,17900,7
nswpadstow,49,37360,8.306122449
nswpanania,1,29000,5
nswparramatta,124,47216.58824,5.758064516
nswpeakhurst,10,24318,9.8
nswpeakhurst heights,1,37500,7
nswpendle hill,16,16307.5,6.625
nswpeninsula motor group usedbankstown,23,22990,4.347826087
nswpennant hills,74,43385.23611,4.540540541
nswpenrith,258,33425.86047,7.391472868
nswpetersham,14,36878.57143,16
nswpicnic point,1,5700,13
nswport macquarie,290,37244.85866,6.479310345
nswportland,1,11000,8
nswpotts point,1,5300,8
nswprestons,1,22999,10
nswpunchbowl,4,25625,9
nswpymble,5,27500,7.2
nswpyrmont,1,25000,11
nswquakers hill,6,18133.33333,10.66666667
nswqueanbeyan,6,16546,10
nswqueanbeyan east,2,10750,13
nswqueanbeyan west,1,32900,2
nswqueenscliff,1,3600,21
nswquirindi,2,19995,7.5
nswraby,4,30125,12.75
nswrandwick,7,25328.57143,9.857142857
nswrathmines,1,30000,8
nswraworth,1,9999,9
nswraymond terrace,3,6300,20
nswraymond terrace east,1,2700,19
nswredfern,2,15725,14
nswredhead,1,8000,8
nswregentville,1,46000,6
nswrenwick,1,73000,1
nswrevesby,95,19653.58947,10.78947368
nswrevesby heights,1,58990,3
nswrhodes,1,50990,6
nswrichmond,34,32109.09091,7.088235294
nswriverstone,5,15099.8,9.6
nswriverview,1,74250,4
nswriverwood,3,10499.66667,16.66666667
nswrockdale,3,24000,8
nswrooty hill,5,14319.8,10.2
nswropes crossing,3,23100,8.666666667
nswrose bay,1,56800,4
nswrose bay north,2,7750,9
nswrosebery,25,34583,5.2
nswrosehill,2,20250,4
nswroselands,40,79564.875,10.875
nswroseville,4,32855.75,5.75
nswrouse hill,3,36998,7.333333333
nswrozelle,144,47015.03497,7.256944444
nswruse,1,29000,7
nswrushcutters bay,18,30618.05556,5.777777778
nswrussell lea,1,21999,7
nswrutherford,56,33286.14286,6.839285714
nswrydalmere,47,41628.51064,14.59574468
nswryde,10,26638.9,8.6
nswsaint marys,96,22009.21875,9.708333333
nswsalamander bay,2,20400,14
nswsan remo,1,18000,8
nswsandgate,10,31095.4,9.2
nswsandigo,1,4900,16
nswsans souci,4,45879.75,10.25
nswsawtell,1,26950,7
nswscone,1,9500,13
nswseaforth,4,27995,8
nswsefton,1,3199,22
nswseven hills,129,28631.76744,8.379844961
nswshalvey,1,23000,4
nswshell cove,3,22330,8.666666667
nswshoalhaven heads,2,31350,12
nswsilverdale,4,29000,9.75
nswsilverwater,57,34826.24561,12.1754386
nswsingleton,57,32554.63158,6.210526316
nswsingleton heights,2,7500,12
nswsmeaton grange,18,45276.55556,14.77777778
nswsmithfield,35,25294.28571,5.485714286
nswsoldiers point,1,4400,11
nswsomersby,20,42242,5.45
nswsomerton park,5,60295.4,9.2
nswsouth grafton,18,28497.5,6.277777778
nswsouth gundurimba,1,92500,4
nswsouth hurstville,38,32660.42105,5.657894737
nswsouth nowra,98,28646.28571,3.969387755
nswspringfield,1,4100,19
nswspringwood,1,8500,10
nswst andrews,2,17250,8
nswst clair,6,25491.66667,8.666666667
nswst georges basin,1,20000,12
nswst ives,5,41078,7.6
nswst leonards,2,73497.5,5.5
nswst marys,4,6874,18.5
nswst peters,2,31999.5,9.5
nswstanford merthyr,1,9500,10
nswstanmore,22,25053.27273,6.181818182
nswstrathfield,2,21450,7.5
nswsuffolk park,1,6500,11
nswsurf beach,1,23000,6
nswsurry hills,20,417990,15.1
nswsutherland,119,18551.7479,11.90756303
nswsutton,2,9750,16
nswsuttons hyundai arncliffearncliffe,10,34418,4.8
nswsydney,86,44459.53488,11
nswsydney olympic park,1,21500,6
nswsylvania,131,51946.64885,6.183206107
nswtamworth,11,23586.36364,13
nswtaree,111,34605.05405,6.468468468
nswtaree south,2,14750,12.5
nswtaren point,25,19596.92,12.08
nswtaylors beach,18,29685.44444,6.944444444
nswteralba,1,7500,11
nswterrigal,3,22066.66667,8.666666667
nswthe ponds,3,42463.33333,6.666666667
nswthe rocks,3,18533.33333,12.66666667
nswthornleigh,56,41463.21429,16.51785714
nswthornton,1,25000,3
nswtikitere,1,5790,17
nswtoongabbie,1,13999,8
nswtoormina,1,7000,15
nswtoronto,1,34000,10
nswtoukley,2,9450,11.5
nswtregear,1,5000,7
nswtuggerah,101,33720.12871,6.207920792
nswtumut,2,23750,6
nswtuncurry,1,55000,57
nswtuross head,1,30000,7
nswturramurra,3,41433.33333,16.33333333
nswturrella,11,26081.81818,6.363636364
nswtweed heads,35,26948.28571,6.485714286
nswtweed heads south,69,27675.10145,7.652173913
nswulladulla,33,33596.66667,7.454545455
nswumina beach,2,7925,16
nswuranquinty,1,10000,10
nswvaucluse,1,849990,61
nswvillawood,79,31716.29114,12.56962025
nswvincentia,1,29500,7
nswvoyager point,1,14500,14
nswwagga wagga,29,31898.65517,9.827586207
nswwagstaffe,1,12000,11
nswwahroonga,3,29500,5
nswwaitara,40,30785.25,6.1
nswwakeley,1,24000,12
nswwallerawang,1,51500,5
nswwallsend,3,15166.33333,10
nswwamberal,2,7500,13
nswwanganui,1,88000,8
nswwaratah,4,8990,16.25
nswwarilla,2,31500,6
nswwarners bay,16,11740.625,11.9375
nswwarrawee,1,4399,11
nswwarren,1,25000,14
nswwarriewood,2,36250,9
nswwarrimoo,1,4999,18
nswwarwick farm,139,41457.4964,5.841726619
nswwaterloo,127,63749.52756,6.086614173
nswwattle grove,2,24500,8
nswwauchope,2,16650,7
nswwentworth point,1,25800,9
nswwentworthville,4,20622.5,8.5
nswwerrington,1,21500,6
nswwest gosford,55,38799.5,5.963636364
nswwest hoxton,1,12500,9
nswwest pennant hills,2,13600,12
nswwest ryde,107,37197.61538,14.70093458
nswwest tamworth,18,24284.11765,7.777777778
nswwest wyalong,2,38245,6
nswwestmead,2,25800,5
nswwetherill park,3,16133.33333,7
nswwhitebridge,2,26250,14
nswwickham,43,16304.76744,9.441860465
nswwilcannia,1,14270,15
nswwiley park,1,25000,7
nswwilloughby,1,53000,4
nswwindang,16,23625.75,6.8125
nswwindsor,42,29388.02381,8.904761905
nswwindsor auto group - usedmcgraths hill,9,30517.11111,4.555555556
nswwingham,1,88750,11
nswwinston hills,1,8999,14
nswwolli creek,1,12000,7
nswwollongong,128,58279.71875,6.8515625
nswwollstonecraft,1,7000,15
nswwoodrising,1,20000,12
nswwoollahra,2,8900,9
nswwoongarrah,2,24150,5.5
nswworld square,2,6300,10
nswwyoming,1,19999,8
nswyagoona,1,33500,5
nswyallah,48,39456.25,5.5625
nswyamba,2,30750,6
nswyenda,1,9800,11
nswyeoval,1,12500,68
nswyoung,12,38744.16667,5.833333333
nswyowie bay,1,21500,14
nswzetland,104,48400.28846,5.240384615
ntalice springs,1,75000,10
ntberrimah,132,31102.46212,7.25
ntberry springs,1,30000,12
ntbrinkin,3,13196.66667,9
ntcoconut grove,1,8000,9
ntcoolalinga,1,6000,17
ntdaly waters,1,9000,17
ntdarwin,61,34670.62295,6.196721311
ntgirraween,1,62000,4
ntgunn,1,29600,4
ntholtze,11,8736.090909,14.81818182
ntjingili,1,125000,6
ntkarama,1,24000,10
ntlarrakeyah,1,18500,12
ntleanyer,1,25500,13
ntludmilla,29,6609.344828,17.65517241
ntmarrara,1,1500,16
ntpalmerston,1,13500,15
ntparap,2,21000,6
ntpinelands,61,15104.7541,14.19672131
ntrapid creek,2,26999,4
ntrosebery,2,15500,12
ntstuart park,65,29199.84615,5.553846154
ntwinnellie,179,44736.22599,6.82122905
ntzuccoli,1,10000,13
qldacacia ridge,105,31149.28571,6.704761905
qldalbany creek,3,18500,9
qldalberton,8,25006.125,13.5
qldalbion,14,33495.5,9.5
qldalderley,2,29493.5,7.5
qldalexandra headland,7,19241.42857,8.714285714
qldalexandra hills,3,19500,9.666666667
qldalgester,1,13000,13
qldalligator creek,2,82500,9
qldallora,1,19750,9
qldandergrove,1,21000,4
qldannandale,2,38999.5,8.5
qldannerley,1,16500,13
qldarcherfield,135,12296.97778,13.86666667
qldaroona,1,9490,11
qldarundel,105,24226.79048,10.47619048
qldashgrove,2,13050,18
qldashmore,142,26394.49296,7.838028169
qldaspley,126,33658.09524,8.404761905
qldatherton,12,45292.5,7.916666667
qldauchenflower,3,28100,7.333333333
qldaugustine heights,2,17000,7.5
qldavenell heights,1,9000,26
qldavoca,1,57250,17
qldayr,1,69888,5
qldbahrs scrub,1,17990,6
qldbald hills,2,40750,10
qldbalmoral,1,7950,7
qldbambaroo,2,11250,10
qldbanksia beach,1,30490,7
qldbannockburn,1,10000,8
qldbanyo,7,14713.71429,12.28571429
qldbarcaldine,1,58000,8
qldbardon,3,21463.33333,11.33333333
qldbargara,2,27250,9.5
qldbaringa,18,42582.33333,8.388888889
qldbarney point,1,28000,5
qldbeachmere,4,10875,13.75
qldbeaudesert,39,24221.53846,6.512820513
qldbeenleigh,2,10495,12
qldbeerwah,3,15833.33333,6.333333333
qldbellbird park,2,12500,7
qldbellmere,1,25000,15
qldbells creek,7,15132.85714,14.57142857
qldbenowa,7,43564.28571,8.714285714
qldberserker,1,19800,4
qldbethania,1,7590,14
qldbiggera waters,12,22392.66667,14.75
qldbiloela,81,34146.81481,7.530864198
qldbirkdale,3,8233.333333,14.33333333
qldbokarina,2,6750,11
qldbonogin,1,29750,5
qldboonah,1,13000,10
qldboondall,2,31995,4.5
qldbooval,43,35545.88372,4.302325581
qldboronia heights,1,7999,12
qldbowen hills,1,25999,2
qldboyne island,1,6300,14
qldbracken ridge,4,39575,11.25
qldbrandon,1,40000,16
qldbrassall,2,10500,11
qldbray park,2,20350,9
qldbreadalbane,1,8500,12
qldbrendale,103,20043.30097,7.213592233
qldbribie island,1,65000,20
qldbridgeman downs,1,27000,7
qldbrinsmead,2,19374.5,9.5
qldbrisbane,42,18780.47619,10.38095238
qldbrisbane city,3,9666.666667,17
qldbroadbeach,1,54900,5
qldbrowns plains,1,53000,6
qldbuderim,5,25535.8,9.6
qldbulimba,3,12496.66667,13.66666667
qldbundaberg,54,31885.55556,6.240740741
qldbundaberg central,1,24200,8
qldbundaberg motor groupbundaberg,5,26590,4.6
qldbundaberg north,2,13895,24
qldbundaberg west,15,23657.33333,9.133333333
qldbundall,4,21467.5,9.25
qldbundamba,1,1400,25
qldbungalow,41,26087.56098,10.97560976
qldburleigh heads,53,36406,6.471698113
